1619872200000,2876.75000000,2879.00000000,2867.08000000,2876.32000000,5082.23123000,1619873099999,14598606.23991350,21440,2778.53496000,7981119.63492690,0
1619873100000,2876.32000000,2876.90000000,2868.00000000,2869.78000000,5026.76227000,1619873999999,14439721.26352220,19179,2563.08406000,7362518.66251330,0
1619874000000,2869.77000000,2877.97000000,2869.77000000,2871.31000000,5471.91313000,1619874899999,15724970.42067230,8844,3289.39953000,9452831.54677600,0
1619874900000,2871.31000000,2875.95000000,2864.02000000,2870.05000000,7391.78260000,1619875799999,21226471.75879770,11064,4202.16452000,12067214.71014750,0
1619875800000,2869.92000000,2871.37000000,2854.00000000,2860.82000000,6429.83646000,1619876699999,18406024.26854220,11143,3126.41446000,8949089.59745420,0
1619876700000,2860.83000000,2876.41000000,2860.43000000,2872.19000000,7864.86383000,1619877599999,22559471.84663340,9933,3374.84635000,9681774.53694270,0
1619877600000,2871.93000000,2877.98000000,2854.00000000,2859.51000000,8229.63754000,1619878499999,23569173.64687910,16774,3894.77575000,11156768.35104030,0
1619878500000,2859.68000000,2871.29000000,2859.51000000,2867.15000000,5229.45196000,1619879399999,14989168.26083510,13754,2867.57771000,8217958.99117230,0
1619879400000,2867.16000000,2869.99000000,2858.00000000,2860.29000000,3899.83773000,1619880299999,11165357.21339880,13063,1952.46413000,5590330.95130190,0
1619880300000,2860.36000000,2863.12000000,2850.18000000,2854.23000000,8804.86703000,1619881199999,25141801.63866080,15574,4280.77989000,12222807.79740210,0
1619881200000,2854.23000000,2860.23000000,2841.15000000,2847.53000000,8201.32931000,1619882099999,23366759.20519630,25833,3526.21925000,10048810.77417730,0
1619882100000,2847.50000000,2858.77000000,2838.86000000,2846.06000000,6206.76481000,1619882999999,17687000.92422190,23748,2992.64028000,8529342.75385740,0
1619883000000,2846.09000000,2860.00000000,2841.27000000,2860.00000000,5372.15885000,1619883899999,15312843.43660800,21234,2745.16248000,7825391.12418070,0
1619883900000,2859.99000000,2867.00000000,2855.01000000,2866.37000000,5017.47481000,1619884799999,14354320.82011080,22081,2639.40448000,7550866.56150400,0
1619884800000,2866.37000000,2887.00000000,2866.07000000,2878.60000000,11228.03431000,1619885699999,32294691.29750910,20721,6207.78208000,17855070.88406970,0
1619885700000,2878.59000000,2887.07000000,2875.89000000,2882.93000000,8784.97213000,1619886599999,25329865.15400240,15756,4754.62441000,13709793.06705830,0
1619886600000,2882.94000000,2888.88000000,2876.55000000,2888.54000000,7343.92626000,1619887499999,21178573.96820960,13551,4465.10950000,12877594.38534620,0
1619887500000,2888.69000000,2900.00000000,2885.72000000,2897.99000000,15894.31304000,1619888399999,46010798.69793170,26717,9741.03938000,28196912.32418220,0
1619888400000,2897.98000000,2931.41000000,2897.85000000,2919.72000000,21167.72204000,1619889299999,61774758.08353060,42344,12563.32671000,36661393.51820580,0
1619889300000,2919.72000000,2927.00000000,2908.09000000,2926.00000000,11183.33510000,1619890199999,32627072.15780590,16838,6540.34760000,19079657.97033020,0
1619890200000,2926.01000000,2928.00000000,2917.36000000,2927.04000000,7603.54748000,1619891099999,22228832.88999540,13788,4267.35049000,12476471.23849730,0
1619891100000,2927.12000000,2938.77000000,2921.01000000,2933.17000000,9506.18324000,1619891999999,27857143.85101810,17453,5572.07440000,16329355.33934590,0
1619892000000,2933.17000000,2943.24000000,2916.01000000,2922.33000000,10556.59107000,1619892899999,30934496.52473680,19645,5239.19450000,15356387.22877650,0
1619892900000,2922.34000000,2929.45000000,2917.22000000,2926.18000000,5331.29357000,1619893799999,15581611.16842420,10855,2838.81931000,8297213.92973200,0
1619893800000,2926.18000000,2940.32000000,2925.93000000,2937.21000000,8154.93248000,1619894699999,23926898.02561280,13644,4495.75180000,13190306.16828800,0
1619894700000,2937.21000000,2943.69000000,2935.26000000,2940.04000000,7404.69213000,1619895599999,21767044.06430100,12900,3842.68008000,11295482.32311000,0
1619895600000,2940.03000000,2940.23000000,2930.00000000,2934.02000000,5710.48395000,1619896499999,16760314.74643570,10542,2929.94661000,8599907.10096070,0
1619896500000,2934.01000000,2936.99000000,2898.01000000,2923.96000000,9025.19949000,1619897399999,26384985.02948180,15283,3796.19517000,11106603.85849290,0
1619897400000,2923.92000000,2929.13000000,2915.36000000,2922.00000000,8075.15983000,1619898299999,23592874.98562050,11444,3806.96408000,11120984.12185400,0
1619898300000,2921.98000000,2927.26000000,2918.01000000,2925.49000000,5446.93156000,1619899199999,15912918.05730720,8601,2591.12994000,7570162.94282860,0
1619899200000,2925.49000000,2936.40000000,2923.56000000,2933.32000000,4417.16566000,1619900099999,12936321.82072540,12802,2145.41540000,6283280.19713700,0
1619900100000,2933.33000000,2933.33000000,2924.79000000,2930.00000000,4514.32044000,1619900999999,13222715.96923590,12983,1976.11442000,5788083.99561610,0
1619901000000,2930.00000000,2948.00000000,2929.26000000,2946.00000000,8889.60622000,1619901899999,26148033.85062490,18385,5513.33545000,16216437.82977020,0
1619901900000,2946.01000000,2954.28000000,2941.57000000,2947.37000000,9562.91071000,1619902799999,28187497.44645780,21400,5938.82404000,17507240.09771600,0
